,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime,round
0,2010,Bahrain Grand Prix,alonso,ferrari,14,3,1,1,25.0,49,1:39:20.396,5960396,45,191.706,Finished,1:58.287,1
1,2010,Bahrain Grand Prix,massa,ferrari,19,2,2,2,18.0,49,+16.099,5976495,38,189.392,Finished,1:59.732,1
2,2010,Bahrain Grand Prix,hamilton,mclaren,44,4,3,3,15.0,49,+23.182,5983578,42,189.665,Finished,1:59.560,1
3,2010,Bahrain Grand Prix,vettel,red_bull,5,1,4,4,12.0,49,+38.799,5999195,32,188.627,Finished,2:00.218,1
4,2010,Bahrain Grand Prix,rosberg,mercedes,6,5,5,5,10.0,49,+40.213,6000609,45,188.599,Finished,2:00.236,1
5,2010,Bahrain Grand Prix,michael_schumacher,mercedes,,7,6,6,8.0,49,+44.163,6004559,45,188.649,Finished,2:00.204,1
6,2010,Bahrain Grand Prix,button,mclaren,22,8,7,7,6.0,49,+45.280,6005676,45,189.017,Finished,1:59.970,1
7,2010,Bahrain Grand Prix,webber,red_bull,,6,8,8,4.0,49,+46.360,6006756,45,189.781,Finished,1:59.487,1
8,2010,Bahrain Grand Prix,liuzzi,force_india,,12,9,9,2.0,49,+53.008,6013404,39,189.118,Finished,1:59.906,1
9,2010,Bahrain Grand Prix,barrichello,williams,,11,10,10,1.0,49,+1:02.489,6022885,47,189.233,Finished,1:59.833,1
10,2010,Bahrain Grand Prix,kubica,renault,88,9,11,11,0.0,49,+1:09.093,6029489,33,188.226,Finished,2:00.474,1
11,2010,Bahrain Grand Prix,sutil,force_india,99,10,12,12,0.0,49,+1:22.958,6043354,49,189.930,Finished,1:59.393,1
12,2010,Bahrain Grand Prix,alguersuari,toro_rosso,,18,13,13,0.0,49,+1:32.656,6053052,28,189.026,Finished,1:59.964,1
13,2010,Bahrain Grand Prix,hulkenberg,williams,27,13,14,14,0.0,48,,,34,186.789,+1 Lap,2:01.401,1
14,2010,Bahrain Grand Prix,kovalainen,lotus_racing,,21,15,15,0.0,47,,,47,184.810,+2 Laps,2:02.701,1
15,2010,Bahrain Grand Prix,buemi,toro_rosso,,15,16,16,0.0,46,,,41,188.844,Electrical,2:00.080,1
16,2010,Bahrain Grand Prix,trulli,lotus_racing,,20,17,17,0.0,46,,,34,184.465,Hydraulics,2:02.930,1
17,2010,Bahrain Grand Prix,rosa,sauber,,14,18,R,0.0,28,,,27,186.406,Hydraulics,2:01.650,1
18,2010,Bahrain Grand Prix,bruno_senna,hrt,,23,19,R,0.0,17,,,14,175.613,Overheating,2:09.127,1
19,2010,Bahrain Grand Prix,glock,virgin,,19,20,R,0.0,16,,,11,178.467,Gearbox,2:07.062,1
20,2010,Bahrain Grand Prix,petrov,renault,,17,21,R,0.0,13,,,7,182.422,Suspension,2:04.307,1
21,2010,Bahrain Grand Prix,kobayashi,sauber,10,16,22,R,0.0,11,,,4,181.347,Hydraulics,2:05.044,1
22,2010,Bahrain Grand Prix,grassi,virgin,,22,23,R,0.0,2,,,2,175.295,Hydraulics,2:09.361,1
23,2010,Bahrain Grand Prix,chandhok,hrt,,24,24,R,0.0,1,,,,,Accident,,1
24,2010,Australian Grand Prix,button,mclaren,22,4,1,1,25.0,58,1:33:36.531,5616531,52,213.804,Finished,1:29.291,2
25,2010,Australian Grand Prix,kubica,renault,88,9,2,2,18.0,58,+12.034,5628565,52,213.138,Finished,1:29.570,2
26,2010,Australian Grand Prix,massa,ferrari,19,5,3,3,15.0,58,+14.488,5631019,52,213.216,Finished,1:29.537,2
27,2010,Australian Grand Prix,alonso,ferrari,14,3,4,4,12.0,58,+16.304,5632835,47,212.812,Finished,1:29.707,2
28,2010,Australian Grand Prix,rosberg,mercedes,6,6,5,5,10.0,58,+16.683,5633214,53,215.742,Finished,1:28.489,2
29,2010,Australian Grand Prix,hamilton,mclaren,44,11,6,6,8.0,58,+29.898,5646429,47,215.700,Finished,1:28.506,2
30,2010,Australian Grand Prix,liuzzi,force_india,,13,7,7,6.0,58,+59.847,5676378,55,212.865,Finished,1:29.685,2
31,2010,Australian Grand Prix,barrichello,williams,,8,8,8,4.0,58,+1:00.536,5677067,58,213.998,Finished,1:29.210,2
32,2010,Australian Grand Prix,webber,red_bull,,2,9,9,2.0,58,+1:07.319,5683850,47,216.061,Finished,1:28.358,2
33,2010,Australian Grand Prix,michael_schumacher,mercedes,,7,10,10,1.0,58,+1:09.391,5685922,58,214.058,Finished,1:29.185,2
34,2010,Australian Grand Prix,alguersuari,toro_rosso,,17,11,11,0.0,58,+1:11.301,5687832,49,212.798,Finished,1:29.713,2
35,2010,Australian Grand Prix,rosa,sauber,,14,12,12,0.0,58,+1:14.084,5690615,54,210.745,Finished,1:30.587,2
36,2010,Australian Grand Prix,kovalainen,lotus_racing,,19,13,13,0.0,56,,,52,203.878,+2 Laps,1:33.638,2
37,2010,Australian Grand Prix,chandhok,hrt,,22,14,14,0.0,53,,,48,200.860,+5 Laps,1:35.045,2
38,2010,Australian Grand Prix,glock,virgin,,23,15,R,0.0,41,,,37,202.597,Suspension,1:34.230,2
39,2010,Australian Grand Prix,grassi,virgin,,24,16,R,0.0,26,,,17,197.613,Hydraulics,1:36.607,2
40,2010,Australian Grand Prix,vettel,red_bull,5,1,17,R,0.0,25,,,22,208.515,Wheel,1:31.556,2
41,2010,Australian Grand Prix,sutil,force_india,99,10,18,R,0.0,9,,,6,184.947,Engine,1:43.223,2
42,2010,Australian Grand Prix,petrov,renault,,18,19,R,0.0,9,,,6,185.110,Spun off,1:43.132,2
43,2010,Australian Grand Prix,bruno_senna,hrt,,21,20,R,0.0,4,,,4,129.626,Hydraulics,2:27.276,2
44,2010,Australian Grand Prix,buemi,toro_rosso,,12,21,R,0.0,0,,,,,Collision,,2
45,2010,Australian Grand Prix,hulkenberg,williams,27,15,22,R,0.0,0,,,,,Collision,,2
46,2010,Australian Grand Prix,kobayashi,sauber,10,16,23,R,0.0,0,,,,,Collision,,2
47,2010,Australian Grand Prix,trulli,lotus_racing,,20,24,W,0.0,0,,,,,Hydraulics,,2
48,2010,Malaysian Grand Prix,vettel,red_bull,5,3,1,1,25.0,56,1:33:48.412,5628412,53,204.009,Finished,1:37.813,3
49,2010,Malaysian Grand Prix,webber,red_bull,,1,2,2,18.0,56,+4.849,5633261,53,205.605,Finished,1:37.054,3
50,2010,Malaysian Grand Prix,rosberg,mercedes,6,2,3,3,15.0,56,+13.504,5641916,53,203.352,Finished,1:38.129,3
51,2010,Malaysian Grand Prix,kubica,renault,88,6,4,4,12.0,56,+18.589,5647001,55,203.466,Finished,1:38.074,3
52,2010,Malaysian Grand Prix,sutil,force_india,99,4,5,5,10.0,56,+21.059,5649471,55,203.288,Finished,1:38.160,3
53,2010,Malaysian Grand Prix,hamilton,mclaren,44,20,6,6,8.0,56,+23.471,5651883,32,204.151,Finished,1:37.745,3
54,2010,Malaysian Grand Prix,massa,ferrari,19,21,7,7,6.0,56,+27.068,5655480,48,204.070,Finished,1:37.784,3
55,2010,Malaysian Grand Prix,button,mclaren,22,17,8,8,4.0,56,+37.918,5666330,49,202.584,Finished,1:38.501,3
56,2010,Malaysian Grand Prix,alguersuari,toro_rosso,,14,9,9,2.0,56,+1:10.602,5699014,44,200.572,Finished,1:39.489,3
57,2010,Malaysian Grand Prix,hulkenberg,williams,27,5,10,10,1.0,56,+1:13.399,5701811,51,201.311,Finished,1:39.124,3
58,2010,Malaysian Grand Prix,buemi,toro_rosso,,13,11,11,0.0,56,+1:18.938,5707350,54,204.433,Finished,1:37.610,3
59,2010,Malaysian Grand Prix,barrichello,williams,,7,12,12,0.0,55,,,46,200.695,+1 Lap,1:39.428,3
