,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
year,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
raceId,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,British Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,Italian Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,São Paulo Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Austrian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix,Brazilian Grand Prix
driverId,max_verstappen,hamilton,bottas,leclerc,norris,ricciardo,alonso,vettel,russell,ocon,sainz,gasly,raikkonen,stroll,giovinazzi,tsunoda,latifi,mick_schumacher,mazepin,perez,bottas,max_verstappen,ricciardo,norris,hamilton,leclerc,sainz,giovinazzi,perez,stroll,alonso,vettel,ocon,latifi,russell,tsunoda,mazepin,kubica,mick_schumacher,gasly,bottas,max_verstappen,sainz,perez,hamilton,norris,leclerc,gasly,ocon,vettel,ricciardo,alonso,giovinazzi,stroll,tsunoda,latifi,russell,raikkonen,mick_schumacher,mazepin,max_verstappen,leclerc,perez,sainz,norris,ricciardo,bottas,kevin_magnussen,alonso,mick_schumacher,russell,tsunoda,vettel,hamilton,stroll,ocon,gasly,albon,latifi,zhou,max_verstappen,leclerc,sainz,russell,perez,ocon,kevin_magnussen,hamilton,mick_schumacher,bottas,norris,ricciardo,stroll,zhou,gasly,albon,tsunoda,latifi,vettel,alonso,russell,sainz,hamilton,max_verstappen,perez,leclerc,norris,kevin_magnussen,vettel,gasly,ricciardo,mick_schumacher,zhou,bottas,tsunoda,stroll,ocon,alonso,latifi,albon
round,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
constructorId,red_bull,mercedes,mercedes,ferrari,mclaren,mclaren,alpine,aston_martin,williams,alpine,ferrari,alphatauri,alfa,aston_martin,alfa,alphatauri,williams,haas,haas,red_bull,mercedes,red_bull,mclaren,mclaren,mercedes,ferrari,ferrari,alfa,red_bull,aston_martin,alpine,aston_martin,alpine,williams,williams,alphatauri,haas,alfa,haas,alphatauri,mercedes,red_bull,ferrari,red_bull,mercedes,mclaren,ferrari,alphatauri,alpine,aston_martin,mclaren,alpine,alfa,aston_martin,alphatauri,williams,williams,alfa,haas,haas,red_bull,ferrari,red_bull,ferrari,mclaren,mclaren,alfa,haas,alpine,haas,mercedes,alphatauri,aston_martin,mercedes,aston_martin,alpine,alphatauri,williams,williams,alfa,red_bull,ferrari,ferrari,mercedes,red_bull,alpine,haas,mercedes,haas,alfa,mclaren,mclaren,aston_martin,alfa,alphatauri,williams,alphatauri,williams,aston_martin,alpine,mercedes,ferrari,mercedes,red_bull,red_bull,ferrari,mclaren,haas,aston_martin,alphatauri,mclaren,haas,alfa,alfa,alphatauri,aston_martin,alpine,alpine,williams,williams
number,33,44,77,16,4,3,14,5,63,31,55,10,7,18,99,22,6,47,9,11,77,33,3,4,44,16,55,99,11,18,14,5,31,6,63,22,9,88,47,10,77,33,55,11,44,4,16,10,31,5,3,14,99,18,22,6,63,7,47,9,33,16,11,55,4,3,77,20,14,47,63,22,5,44,18,31,10,23,6,24,33,16,55,63,11,31,20,44,47,77,4,3,18,24,10,23,22,6,5,14,63,55,44,33,11,16,4,20,5,10,3,47,24,77,22,18,31,14,6,23
grid,2,1,3,4,6,7,11,10,8,13,9,12,17,15,14,16,18,19,20,5,1,3,5,4,2,8,7,10,9,12,13,11,14,16,15,17,20,19,18,6,2,1,5,3,20,7,6,4,10,11,8,9,14,15,12,16,17,13,18,19,1,2,7,10,3,6,8,4,5,12,11,16,9,13,15,19,17,20,18,0,1,2,3,4,13,5,6,9,7,12,15,16,17,18,10,11,14,19,20,8,3,5,8,2,9,10,4,1,13,12,14,20,17,18,19,15,6,7,16,11
position,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
positionText,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,R,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,R,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,R,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,R
points,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
