year,round,driverId,position,points,positionText,wins
2010,1,alonso,1,25,1,1
2010,1,massa,2,18,2,0
2010,1,hamilton,3,15,3,0
2010,1,vettel,4,12,4,0
2010,1,rosberg,5,10,5,0
2010,1,michael_schumacher,6,8,6,0
2010,1,button,7,6,7,0
2010,1,webber,8,4,8,0
2010,1,liuzzi,9,2,9,0
2010,1,barrichello,10,1,10,0
2010,1,kubica,11,0,11,0
2010,1,sutil,12,0,12,0
2010,1,alguersuari,13,0,13,0
2010,1,hulkenberg,14,0,14,0
2010,1,kovalainen,15,0,15,0
2010,1,buemi,16,0,16,0
2010,1,trulli,17,0,17,0
2010,1,rosa,18,0,18,0
2010,1,bruno_senna,19,0,19,0
2010,1,glock,20,0,20,0
2010,1,petrov,21,0,21,0
2010,1,kobayashi,22,0,22,0
2010,1,grassi,23,0,23,0
2010,1,chandhok,24,0,24,0
2010,2,alonso,1,37,1,1
2010,2,massa,2,33,2,0
2010,2,button,3,31,3,1
2010,2,hamilton,4,23,4,0
2010,2,rosberg,5,20,5,0
2010,2,kubica,6,18,6,0
2010,2,vettel,7,12,7,0
2010,2,michael_schumacher,8,9,8,0
2010,2,liuzzi,9,8,9,0
2010,2,webber,10,6,10,0
2010,2,barrichello,11,5,11,0
2010,2,alguersuari,12,0,12,0
2010,2,sutil,13,0,13,0
2010,2,rosa,14,0,14,0
2010,2,kovalainen,15,0,15,0
2010,2,chandhok,16,0,16,0
2010,2,hulkenberg,17,0,17,0
2010,2,buemi,18,0,18,0
2010,2,trulli,19,0,19,0
2010,2,bruno_senna,20,0,20,0
2010,2,glock,21,0,21,0
2010,2,petrov,22,0,22,0
2010,2,kobayashi,23,0,23,0
2010,2,grassi,24,0,24,0
2010,3,massa,1,39,1,0
2010,3,alonso,2,37,2,1
2010,3,vettel,3,37,3,1
2010,3,button,4,35,4,1
2010,3,rosberg,5,35,5,0
2010,3,hamilton,6,31,6,0
2010,3,kubica,7,30,7,0
2010,3,webber,8,24,8,0
2010,3,sutil,9,10,9,0
2010,3,michael_schumacher,10,9,10,0
2010,3,liuzzi,11,8,11,0
2010,3,barrichello,12,5,12,0
2010,3,alguersuari,13,2,13,0
2010,3,hulkenberg,14,1,14,0
2010,3,buemi,15,0,15,0
2010,3,rosa,16,0,16,0
2010,3,kovalainen,17,0,17,0
2010,3,chandhok,18,0,18,0
2010,3,grassi,19,0,19,0
2010,3,bruno_senna,20,0,20,0
2010,3,trulli,21,0,21,0
2010,3,glock,22,0,22,0
2010,3,petrov,23,0,23,0
2010,3,kobayashi,24,0,24,0
2010,4,button,1,60,1,2
2010,4,rosberg,2,50,2,0
2010,4,alonso,3,49,3,1
2010,4,hamilton,4,49,4,0
2010,4,vettel,5,45,5,1
2010,4,massa,6,41,6,0
2010,4,kubica,7,40,7,0
2010,4,webber,8,28,8,0
2010,4,sutil,9,10,9,0
2010,4,michael_schumacher,10,10,10,0
2010,4,liuzzi,11,8,11,0
2010,4,petrov,12,6,12,0
2010,4,barrichello,13,5,13,0
2010,4,alguersuari,14,2,14,0
2010,4,hulkenberg,15,1,15,0
2010,4,buemi,16,0,16,0
2010,4,rosa,17,0,17,0
2010,4,kovalainen,18,0,18,0
2010,4,chandhok,19,0,19,0
2010,4,grassi,20,0,20,0
2010,4,bruno_senna,21,0,21,0
2010,4,trulli,22,0,22,0
2010,4,glock,23,0,23,0
2010,4,kobayashi,24,0,24,0
2010,5,button,1,70,1,2
2010,5,alonso,2,67,2,1
2010,5,vettel,3,60,3,1
2010,5,webber,4,53,4,1
2010,5,rosberg,5,50,5,0
2010,5,hamilton,6,49,6,0
2010,5,massa,7,49,7,0
2010,5,kubica,8,44,8,0
2010,5,michael_schumacher,9,22,9,0
2010,5,sutil,10,16,10,0
2010,5,liuzzi,11,8,11,0
2010,5,barrichello,12,7,12,0
2010,5,petrov,13,6,13,0
2010,5,alguersuari,14,3,14,0
2010,5,hulkenberg,15,1,15,0
2010,5,buemi,16,0,16,0
2010,5,rosa,17,0,17,0
2010,5,kobayashi,18,0,18,0
2010,5,kovalainen,19,0,19,0
2010,5,chandhok,20,0,20,0
2010,5,grassi,21,0,21,0
2010,5,bruno_senna,22,0,22,0
2010,5,trulli,23,0,23,0
2010,5,glock,24,0,24,0
2010,6,webber,1,78,1,2
2010,6,vettel,2,78,2,1
2010,6,alonso,3,75,3,1
2010,6,button,4,70,4,2
2010,6,massa,5,61,5,0
2010,6,kubica,6,59,6,0
2010,6,hamilton,7,59,7,0
2010,6,rosberg,8,56,8,0
2010,6,michael_schumacher,9,22,9,0
2010,6,sutil,10,20,10,0
2010,6,liuzzi,11,10,11,0
2010,6,barrichello,12,7,12,0
2010,6,petrov,13,6,13,0
2010,6,alguersuari,14,3,14,0
2010,6,buemi,15,1,15,0
2010,6,hulkenberg,16,1,16,0
2010,6,rosa,17,0,17,0
2010,6,kobayashi,18,0,18,0
2010,6,kovalainen,19,0,19,0
2010,6,chandhok,20,0,20,0
2010,6,grassi,21,0,21,0
2010,6,trulli,22,0,22,0
2010,6,bruno_senna,23,0,23,0
2010,6,glock,24,0,24,0
2010,7,webber,1,93,1,2
2010,7,button,2,88,2,2
2010,7,hamilton,3,84,3,1
2010,7,alonso,4,79,4,1
2010,7,vettel,5,78,5,1
2010,7,kubica,6,67,6,0
2010,7,massa,7,67,7,0
2010,7,rosberg,8,66,8,0
2010,7,michael_schumacher,9,34,9,0
2010,7,sutil,10,22,10,0
2010,7,liuzzi,11,10,11,0
2010,7,barrichello,12,7,12,0
2010,7,petrov,13,6,13,0
2010,7,alguersuari,14,3,14,0
2010,7,buemi,15,1,15,0
2010,7,kobayashi,16,1,16,0
2010,7,hulkenberg,17,1,17,0
2010,7,rosa,18,0,18,0
2010,7,kovalainen,19,0,19,0
2010,7,chandhok,20,0,20,0
2010,7,grassi,21,0,21,0
2010,7,trulli,22,0,22,0
2010,7,bruno_senna,23,0,23,0
2010,7,glock,24,0,24,0
2010,8,hamilton,1,109,1,2
2010,8,button,2,106,2,2
2010,8,webber,3,103,3,2
2010,8,alonso,4,94,4,1
2010,8,vettel,5,90,5,1
2010,8,rosberg,6,74,6,0
2010,8,kubica,7,73,7,0
2010,8,massa,8,67,8,0
2010,8,michael_schumacher,9,34,9,0
2010,8,sutil,10,23,10,0
2010,8,liuzzi,11,12,11,0
2010,8,barrichello,12,7,12,0
2010,8,petrov,13,6,13,0
2010,8,buemi,14,5,14,0
2010,8,alguersuari,15,3,15,0
2010,8,kobayashi,16,1,16,0
2010,8,hulkenberg,17,1,17,0
2010,8,rosa,18,0,18,0
2010,8,kovalainen,19,0,19,0
2010,8,chandhok,20,0,20,0
2010,8,grassi,21,0,21,0
2010,8,trulli,22,0,22,0
2010,8,bruno_senna,23,0,23,0
2010,8,glock,24,0,24,0
2010,9,hamilton,1,127,1,2
2010,9,button,2,121,2,2
2010,9,vettel,3,115,3,2
2010,9,webber,4,103,4,2
2010,9,alonso,5,98,5,1
2010,9,kubica,6,83,6,0
2010,9,rosberg,7,75,7,0
2010,9,massa,8,67,8,0
